"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 18 20:41:00 PDT 2023","Mon Sep 18 20:41:00 PDT 2023","165","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreatePlaylistWithoutName","CreatePlaylistWithoutName",""
"passed","Mon Sep 18 20:40:58 PDT 2023","Mon Sep 18 20:41:01 PDT 2023","3490","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","GetPlaylist","get details of active playlist - TestNG",""
"failed","Mon Sep 18 20:41:00 PDT 2023","Mon Sep 18 20:41:00 PDT 2023","153","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreateNewPlaylist","create a new playlist - TestNG","this is the description - From "
"failed","Mon Sep 18 20:50:52 PDT 2023","Mon Sep 18 20:50:52 PDT 2023","159","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreatePlaylistWithoutName","CreatePlaylistWithoutName",""
"passed","Mon Sep 18 20:40:58 PDT 2023","Mon Sep 18 20:41:00 PDT 2023","2696","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreatePlaylistWithExpiredToken","CreatePlaylistWithExpiredToken",""
"failed","Mon Sep 18 20:50:52 PDT 2023","Mon Sep 18 20:50:52 PDT 2023","134","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreateNewPlaylist","create a new playlist - TestNG","this is the description - From "
"passed","Mon Sep 18 20:50:49 PDT 2023","Mon Sep 18 20:50:52 PDT 2023","2850","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","CreatePlaylistWithExpiredToken","CreatePlaylistWithExpiredToken",""
"passed","Mon Sep 18 20:50:49 PDT 2023","Mon Sep 18 20:50:53 PDT 2023","3657","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","GetPlaylist","get details of active playlist - TestNG",""
"failed","Mon Sep 18 20:41:00 PDT 2023","Mon Sep 18 20:41:00 PDT 2023","167","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","UpdatePlaylist","update playlist details - TestNG",""
"failed","Mon Sep 18 20:50:52 PDT 2023","Mon Sep 18 20:50:52 PDT 2023","151","Automation Test Suite for Spotify Playlist APIs","Regression Tests execution for Spotify Playlist APIs","com.spotify.oauth2.tests.PlaylistTests","com.spotify.oauth2.tests.PlaylistTests","UpdatePlaylist","update playlist details - TestNG",""
